Date,Temperature,Humidity,WindSpeed,Visibility
1/04/2006,9.472222222,0.89,14.1197,15.8263
2/04/2006,9.355555556,0.86,14.2646,15.8263
3/04/2006,9.377777778,0.89,3.9284,14.9569
4/04/2006,8.288888889,0.83,14.1036,15.8263
5/04/2006,8.755555556,0.83,11.0446,15.8263
6/04/2006,9.222222222,0.85,13.9587,14.9569
7/04/2006,7.733333333,0.95,12.3648,9.982
8/04/2006,8.772222222,0.89,14.1519,9.982
9/04/2006,10.82222222,0.82,11.3183,9.982
10/04/2006,13.77222222,0.72,12.5258,9.982
11/04/2006,16.01666667,0.67,17.5651,11.2056
12/04/2006,17.14444444,0.54,19.7869,11.4471
13/04/2006,17.8,0.55,21.9443,11.27
14/04/2006,17.33333333,0.51,20.6885,11.27
15/04/2006,18.87777778,0.47,15.3755,11.4471
16/04/2006,18.91111111,0.46,10.4006,11.27
17/04/2006,15.38888889,0.6,14.4095,11.27
18/04/2006,15.55,0.63,11.1573,11.4471
19/04/2006,14.25555556,0.69,8.5169,11.2056
20/04/2006,13.14444444,0.7,7.6314,11.2056
21/04/2006,11.55,0.77,7.3899,11.0285
22/04/2006,11.18333333,0.76,4.9266,9.982
23/04/2006,10.11666667,0.79,6.6493,15.8263
24/04/2006,10.2,0.77,3.9284,14.9569
25/04/2006,10.42222222,0.62,16.9855,15.8263
26/04/2006,9.911111111,0.66,17.2109,15.8263
27/04/2006,11.18333333,0.8,10.8192,14.9569
28/04/2006,7.155555556,0.79,11.0768,15.8263
29/04/2006,6.111111111,0.82,6.6493,15.8263
30/04/2006,6.788888889,0.83,13.0088,14.9569
1/05/2006,7.261111111,0.85,11.1734,6.1985
2/05/2006,7.8,0.83,12.8156,8.05
3/05/2006,9.872222222,0.78,13.7494,9.982
4/05/2006,12.22222222,0.72,15.6331,9.982
5/05/2006,15.09444444,0.61,17.549,9.982
6/05/2006,17.35555556,0.52,22.7815,9.982
7/05/2006,19.00555556,0.46,23.8924,9.982
8/05/2006,20.04444444,0.4,28.3682,9.982
9/05/2006,21.05,0.4,26.9031,10.3523
10/05/2006,21.18333333,0.37,25.6956,9.982
11/05/2006,20.11666667,0.4,25.3092,9.982
12/05/2006,20.21666667,0.36,18.1125,10.3523
13/05/2006,20,0.43,23.4255,9.982
14/05/2006,17.8,0.5,20.0445,11.2056
15/05/2006,16.06111111,0.53,21.3969,9.982
16/05/2006,15.02222222,0.55,21.3808,9.982
17/05/2006,14.42222222,0.58,20.0123,15.8263
18/05/2006,14.25555556,0.59,16.5025,14.9569
19/05/2006,13.77222222,0.6,17.0982,15.8263
20/05/2006,13.28333333,0.63,14.3612,15.8263
21/05/2006,8.633333333,0.87,22.0409,6.6976
22/05/2006,11.25,0.83,11.3344,15.8263
23/05/2006,11.18333333,0.89,11.2056,9.9015
24/05/2006,10.69444444,0.95,10.4006,6.6976
25/05/2006,11.11111111,0.93,12.0106,5.9731
